AgentRefID,total_payment,total_successfull_payments,total_failed_payments,total_amount_transaction,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_gt100,total_count_transaction_gt100,total_amount_transaction_gt1000,total_count_transaction_gt1000,total_amount_transcation_debit,total_amount_transaction_credit,total_unique_payee,total_unique_distributer,avg_count_payment_permonth,avg_count_payment_gt100_permonth,avg_amount_payment_permonth,avg_amout_payment_gt100_permonth,avg_last_month_amount_txn,avg_txn_first_week,avg_last_month_1week_amount_txn,last_month_amount_gt100,vintage,recency,total_ticket_raised,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn
186,796,746,50,1775229.0,25000.0,1.0,2379.6635388739946,2000.0,1775044.0,669,1605046.0,474,1775154.0,75.0,417,1,105.0,95.71428571428571,2384.6849692231417,2704.3906399142434,263694.0,2368.7697368421054,69150.0,263686.0,199.0,1.0,0.0,0.0,0.0,0.0
207,90,64,26,120425.0,5000.0,1.0,1881.640625,1000.0,120198.0,35,114698.0,29,120401.0,24.0,22,1,18.0,9.25,1914.8965838509316,3179.3205128205127,0.0,2309.8571428571427,0.0,0.0,118.0,84.0,0.0,0.0,0.0,1.0
876,1336,1260,76,2206985.0,5000.0,1.0,1751.5753968253969,1000.0,2206355.0,877,1953410.0,566,2206605.0,380.0,427,1,186.0,125.57142857142857,1756.4760457074333,2527.7274437520064,269529.0,1921.7839721254356,94061.0,269489.0,203.0,1.0,2.0,1.0,1.0,0.0
1814,2516,2387,129,6850786.0,25000.0,1.0,2870.0402178466693,2500.0,6850421.0,2220,6463371.0,1784,6850626.0,160.0,1302,2,251.0,317.42857142857144,2570.0279007830895,2853.7202533841496,589611.0,2709.673333333333,95503.0,589600.0,202.0,1.0,4.0,0.0,1.0,0.0
4017,368,319,49,625597.0,40000.0,1.0,1961.1191222570533,1000.0,625139.0,214,581524.0,156,625500.0,97.0,119,1,48.5,36.0,2348.671391330244,3346.084816561177,57442.0,1714.3064516129032,7001.0,57440.0,140.0,6.0,0.0,0.0,0.0,0.0
145,434,411,23,533685.0,5000.0,1.0,1298.5036496350365,1001.0,533628.0,354,498258.0,298,533635.0,50.0,271,1,40.0,50.57142857142857,1547.053159068654,1955.593230739298,8001.0,1197.952,1000.0,8000.0,196.0,8.0,0.0,0.0,0.0,0.0
154,1955,1905,50,5194316.0,49000.0,1.0,2726.675065616798,2000.0,5193351.0,1385,4998264.0,1161,5193805.0,511.0,734,1,288.0,198.42857142857142,2773.2227191639436,3802.379877259783,762657.0,2719.536900369004,309202.0,762577.0,203.0,1.0,1.0,0.0,1.0,0.0
160,3672,3493,179,9830243.0,25000.0,1.0,2814.2693959347266,3000.0,9829725.0,2975,9456968.0,2543,9829726.0,517.0,1248,1,532.0,425.0,2827.420263614738,3302.9342114224955,1592923.0,2923.434013605442,263664.0,1592850.0,203.0,1.0,5.0,1.0,1.25,0.0
400,777,749,28,1544401.0,30000.0,1.0,2061.950600801068,999.0,1544084.0,432,1480755.0,360,1544085.0,316.0,326,1,248.0,144.0,2150.909516239999,3716.755819035758,257026.0,2321.8984375,76185.0,256984.0,64.0,3.0,0.0,0.0,0.0,0.0
452,875,818,57,1905026.0,25000.0,1.0,2328.882640586797,1899.5,1904651.0,591,1793087.0,464,1904803.0,223.0,404,1,141.5,98.66666666666667,2835.1257728609394,3560.771213003816,240475.0,2376.4748858447488,37052.0,240435.0,202.0,1.0,1.0,0.0,1.0,0.0
