AgentRefID,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_credit,total_unique_distributer,avg_amout_payment_gt100_permonth,avg_txn_first_week,avg_last_month_1week_amount_txn,vintage,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn,Total_Score
2256,40000.0,1.0,3632.528888888889,4800.0,78.0,1,5406.100604312871,4572.657894736842,0.0,194.0,0.0,0.0,0.0,6
2394,7450.0,1.0,399.0,1.0,23.0,1,2458.333333333333,575.5,0.0,84.0,0.0,0.0,1.0,11
1070,49000.0,1.0,7000.0,4990.0,2.0,1,10865.833333333334,3900.0,0.0,102.0,0.0,1.3333333333333333,0.0,9
3337,25000.0,1.0,5557.18064516129,3000.0,6.0,1,5610.769290655103,6779.810810810811,24002.0,176.0,2.0,6.0,0.0,5
2431,5000.0,1.0,2402.9349593495936,2000.0,1.0,1,2520.9069792871037,2260.2571428571428,11699.0,199.0,2.0,5.0,0.0,6
3688,19900.0,300.0,4679.933333333333,3250.0,0.0,1,4064.347619047619,5321.8,0.0,163.0,0.0,1.0,0.0,8
2591,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
3709,15000.0,1.0,5498.88888888889,4600.0,1.0,1,3875.589285714286,6779.0,0.0,116.0,0.0,2.5,1.0,9
3116,5000.0,1.0,2016.48,2000.0,30.0,1,3421.5592672413795,1708.666666666667,20504.0,43.0,1.0,1.3333333333333333,0.0,6
1955,10000.0,1.0,1882.578947368421,1000.0,3.0,1,2601.555555555555,1708.7142857142858,4600.0,181.0,0.0,2.4,0.0,9
3524,25000.0,500.0,4884.166666666667,2500.0,0.0,1,3565.1190476190477,1750.0,0.0,98.0,3.0,3.4,0.0,9
2433,25000.0,1.0,6140.33962264151,5000.0,7.0,1,7102.552910052909,2080.0,2400.0,187.0,1.0,1.0,0.0,6
3947,18800.0,1.0,1109.1538461538462,36.0,43.0,1,2408.134848484849,1320.1363636363635,567.0,129.0,0.0,4.0,0.0,7
2613,20000.0,1.0,4616.916666666667,400.0,3.0,1,8745.0,10250.0,0.0,137.0,0.0,0.0,0.0,10
3583,5000.0,1.0,778.4444444444445,1.0,6.0,1,2333.333333333333,0.0,0.0,9.0,0.0,0.0,1.0,12
2755,800.0,1.0,255.3,225.0,3.0,1,327.0833333333333,800.0,0.0,132.0,0.0,0.0,1.0,12
2706,20100.0,700.0,7000.0,7000.0,0.0,1,7604.875,10643.333333333334,0.0,105.0,0.0,4.75,1.0,11
2635,5000.0,1.0,2485.684210526316,2000.0,4.0,1,3841.555555555556,591.8333333333334,0.0,163.0,3.0,2.5,1.0,9
3189,40400.0,1.0,2469.68,100.0,35.0,2,3926.382936507936,294.92857142857144,0.0,196.0,1.0,1.0,0.0,6
2960,3500.0,1.0,875.75,1.0,3.0,1,3500.0,1167.3333333333333,0.0,20.0,1.0,2.5,1.0,12
2955,5000.0,1.0,2344.8,1497.5,3.0,1,3299.166666666666,0.0,0.0,70.0,0.0,0.0,1.0,12
2989,5000.0,495.0,3552.4137931034484,4500.0,0.0,1,3903.457792207792,4920.0,0.0,26.0,0.0,1.0,1.0,10
3358,25000.0,1.0,4882.898305084746,2100.0,28.0,2,5345.39225752997,2747.0731707317073,13006.0,186.0,0.0,0.0,0.0,5
3030,20000.0,1.0,3132.95,805.0,5.0,1,1915.35,0.0,0.0,132.0,0.0,0.0,1.0,9
2686,16080.0,1.0,4843.307692307692,5000.0,3.0,1,7650.666666666668,16080.0,0.0,101.0,0.0,0.0,1.0,10
2668,2250.0,1.0,565.5,5.5,2.0,1,2250.0,0.0,0.0,0.0,0.0,0.0,1.0,12
3176,16967.0,1.0,1420.90625,1.0,29.0,1,3040.173611111111,990.7894736842104,4500.0,152.0,0.0,0.0,0.0,9
4231,5000.0,1.0,2251.21186440678,1999.0,80.0,1,2508.624074074074,2078.346153846154,0.0,114.0,0.0,0.0,0.0,6
3865,1500.0,250.0,808.3333333333335,850.0,0.0,1,756.25,400.0,0.0,100.0,0.0,2.0,0.0,12
1134,25000.0,1.0,5227.43113772455,2000.0,2.0,1,5682.560499185499,3581.425,4920.0,200.0,1.0,2.6666666666666665,0.0,6
2476,24690.0,8.0,2316.813559322034,950.0,0.0,1,3023.0214285714287,2165.444444444445,0.0,118.0,0.0,10.2,0.0,10
4287,25000.0,1.0,2858.4054054054054,1.0,20.0,1,8210.333333333334,1787.052631578947,0.0,81.0,0.0,0.0,1.0,9
2898,25000.0,1.0,4687.014084507042,1000.0,128.0,1,9460.52308486257,9855.551724137933,0.0,196.0,0.0,1.0,0.0,4
3282,25000.0,1.0,3563.1846153846154,500.0,26.0,1,5605.515151515151,5042.90625,12001.0,198.0,0.0,0.0,0.0,7
3629,49000.0,1.0,2166.2073394495415,1000.0,209.0,1,3384.1847110146773,2540.831460674157,73608.0,150.0,0.0,0.0,0.0,3
4054,7000.0,1.0,1951.228070175439,1000.0,38.0,1,2930.575802139037,1891.1142857142856,21402.0,135.0,0.0,0.0,0.0,6
4167,49999.0,1.0,2609.745535714286,2000.0,52.0,1,3166.515215164737,2428.4,38158.0,124.0,0.0,0.0,0.0,5
3248,20000.0,1.0,3708.18431372549,1000.0,31.0,1,4213.679792067247,2871.0,10600.0,198.0,5.0,5.166666666666667,0.0,6
3537,5000.0,1.0,516.2424242424241,1.0,23.0,1,1236.0833333333333,163.2941176470588,0.0,105.0,0.0,0.0,0.0,10
4173,1500.0,10.0,293.3333333333333,50.0,0.0,1,516.6666666666666,0.0,0.0,118.0,0.0,0.0,1.0,9
2579,15700.0,5.0,3484.340909090909,2520.0,0.0,1,3245.0105006105005,5321.153846153846,0.0,194.0,0.0,1.6666666666666667,0.0,9
3597,7250.0,1.0,1306.7058823529412,950.0,2.0,1,2666.675,3722.5,0.0,137.0,0.0,1.0,0.0,10
2432,5000.0,1.0,4126.375,5000.0,1.0,1,4715.714285714285,0.0,0.0,21.0,0.0,0.0,1.0,10
2454,30000.0,1.0,4217.254545454545,3000.0,27.0,1,4435.699665212463,4696.615384615385,45654.0,203.0,0.0,1.75,0.0,3
2528,25000.0,5.0,5273.451612903225,3000.0,0.0,1,5103.895365136692,5504.0114942528735,19090.0,201.0,1.0,1.4,0.0,5
2489,5000.0,1.0,1053.7333333333333,500.0,6.0,1,1552.0833333333335,982.2727272727273,7204.0,99.0,0.0,1.0,0.0,11
2466,20000.0,150.0,6206.25,4200.0,0.0,1,3975.0,6390.0,0.0,108.0,0.0,4.2,1.0,9
3676,14900.0,1.0,2565.9066666666668,1000.0,2.0,1,2786.857263107264,2445.625,5500.0,168.0,0.0,1.25,0.0,5
2721,10000.0,1.0,1080.145299145299,1.0,77.0,2,2966.0256410256407,1544.888888888889,15503.0,184.0,0.0,2.0,0.0,8
2779,5000.0,1.0,1585.9478260869564,1000.0,29.0,1,2115.6422569027613,1459.575,21430.0,199.0,0.0,1.5,0.0,5
2481,30000.0,1.0,6018.377049180328,4000.0,1.0,1,6996.184210526316,5427.777777777777,10000.0,190.0,0.0,3.25,0.0,7
2501,25000.0,1.0,4763.83829787234,4500.0,2.0,1,4787.614148261431,5378.020833333333,78055.0,203.0,13.0,7.0,0.0,4
3687,19000.0,1.0,1869.047619047619,100.0,10.0,1,2780.0,250.75,0.0,114.0,0.0,2.0,1.0,10
2742,3000.0,1000.0,2000.0,2000.0,0.0,1,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,12
3024,3020.0,790.0,1944.75,1984.5,0.0,1,1966.333333333333,0.0,0.0,56.0,0.0,5.0,1.0,12
